Dataset,Cv,Method,Duration (Seconds),Micro F1,Best Pipeline
FMN,3,ASTeC,141826,0.691,"[('SimpleLowerCase', []), ('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('LinearSVMClassifier', [('C', 100.0)])]"
FMN,4,ASTeC,116222,0.699,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 0.01)])]"
FMN,5,ASTeC,90795,0.690,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 1.0)])]"
FMN,6,ASTeC,108531,0.732,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'chi2')]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 0.01)])]"
FMN,7,ASTeC,82319,0.718,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 0.01)])]"
FMN,8,ASTeC,158602,0.723,"[('SimpleLowerCase', []), ('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.7), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LbfgsMLPClassifier', [('activation', 'identity'), ('alpha', 1.0)])]"
FMN,9,ASTeC,137326,0.688,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'chi2')]), ('LinearSVMClassifier', [('C', 100.0)])]"
FMN,10,ASTeC,123365,0.721,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('NlpnetPOSTagger', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 97), ('score_func', 'mutual_info_classif')]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 0.01)])]"
PMGT,1,ASTeC,43464,0.610,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,2,ASTeC,50717,0.866,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,3,ASTeC,49400,0.862,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('CustomRSLPStemmer', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.8), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('LinearSVMClassifier', [('C', 1.0)])]"
PMGT,4,ASTeC,52701,0.989,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'chi2')]), ('SigmoidSVMClassifier', [('C', 100.0), ('coef0', -1.0), ('gamma', 1.0)])]"
PMGT,5,ASTeC,47339,0.881,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,6,ASTeC,52246,0.940,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,7,ASTeC,49905,0.913,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,8,ASTeC,42329,0.923,"[('SimpleLowerCase', []), ('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
PMGT,9,ASTeC,47493,0.979,"[('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
